,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
212,"2021 Sprinter 170"" High Roof",85000.0,South,2021,Sprinter,3500.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,3,3,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,Brand New,4,Big,3,0,0,1,0,1,5,6,4
213,"Brand New Build, Low Miles, Professionally Converted by Nomad RVs",65000.0,Northeast,2020,Promaster,13974.0,2WD,Lien,Automatic,Gasoline,18.009009,136.0,2,2,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Small,1,0,0,0,1,0,5,4,4
214,*SOLD* | Chevy 3500 BlueBird | Fully Equipped & Off Grid Ready | Custom Skoolie Conversion,52000.0,Midwest,2010,Other,116400.0,2WD,Clean,Automatic,Diesel,18.009009,21.0,3,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,Midlife,2,Small,1,0,1,0,0,1,0,1,0
215,"Mercedes TN 309 , model 1982 , 49000 miles (PRICE 9000$)",9000.0,International,1982,Other,49000.0,2WD,Clean,Manual (Stick Shift),Gasoline,18.009009,131.0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Old,1,Small,1,0,0,0,0,0,6,12,8
216,2017 Sprinter 144,105000.0,Midwest,2017,Sprinter,52000.0,2WD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,Newer,3,Small,1,0,1,0,0,1,5,10,5
217,2021 Mercedes Benz Sprinter 2500 Diesel 4x4,129000.0,West,2021,Sprinter,220.0,4WD,Clean,Automatic,Diesel,20.0,144.0,4,2,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,Brand New,4,Small,1,1,0,0,0,1,8,5,5
218,AMAZING LAYOUT! WITH ALL THE AMENETIES. THIS ONE HAS [SOLD] CONTACT US TO START YOUR BUILD!,91000.0,West,2020,Promaster,34000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,7,8,4
219,The Wandering Family Van!,127500.0,West,2021,Promaster,2000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,4,4,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,8,8,6
220,"2020 Mercedes Sprinter 170"" Brand New Conversion l Adventure In Style",185000.0,West,2020,Sprinter,500.0,2WD,Clean,Automatic,Diesel,21.0,170.0,2,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,2,8,5
221,2020 Promaster: Adventure-Ready,65000.0,West,2020,Promaster,18000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,4,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,0,5,2
